# Coding: utf-8,
# File format version: 6,
# Title: CAMS Radiation Service v4.5 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global, beam and diffuse irradiations integrated over a selected time step
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: MINES ParisTech (France),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2023-01-01T00:00:00.0,
# Date end (ISO 8601): 2023-01-03T00:00:00.0,
# Latitude (positive North, ISO 19115): 52.5200
# Longitude (positive East, ISO 19115): 13.4000
# Altitude (m): 35.00,
# Elevation of CAMS cell (m): 77.29,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 0 h 1 min 0 s,
# noValue: nan,
# File generated on: 2023-04-28,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#12. sza. Solar zenithal angle for the middle of the summarization (deg),
#13. summer/winter split. 1.0 means summer, 0.0 means winter
#14. tco3. Total column content of ozone (Dobson unit),
#15. tcwv. Total column content of water vapour (kg/m2),
#16. AOD BC. Partial aerosol optical depth at 550 nm for black carbon,
#17. AOD DU. Partial aerosol optical depth at 550 nm for dust,
#18. AOD SS. Partial aerosol optical depth at 550 nm for sea salt,
#19. AOD OR. Partial aerosol optical depth at 550 nm for organic matter,
#20. AOD SU. Partial aerosol optical depth at 550 nm for sulphate,
#21. AOD NI. Partial aerosol optical depth at 550 nm for nitrate,
#22. AOD AM. Partial aerosol optical depth at 550 nm for ammonium,
#23. alpha. Angstroem coefficient for aerosol. Obsolete (value is always nan),
#24. Snow_probability of the pixel (percentage from 0 to 100, value of the nearest acquisition time of the pixel) -1=no value
#25. fiso. MODIS-like BRDF parameter fiso,
#26. fvol. MODIS-like BRDF parameter fvol,
#27. fgeo. MODIS-like BRDF parameter fgeo,
#28. albedo. Ground albedo,
#29. Cloud optical depth (value from 0 to 500, value of the nearest acquisition time of the pixel) nan=no value
#30. Cloud coverage of the pixel (percentage from 0 to 100, value of the nearest acquisition time of the pixel) -1=no value
#31. Cloud type (value of the nearest acquisition time of the pixel) -1=no value 0=no clouds 5=low-level cloud 6=medium-level cloud 7=high-level cloud 8=thin cloud,
#32. GHI no corr. Global irradiation without bias correction on horizontal plane at ground level (obsolete),
#33. BHI no corr. Beam irradiation without bias correction on horizontal plane at ground level (obsolete),
#34. DHI no corr. Diffuse irradiation without bias correction on horizontal plane at ground level (obsolete),
#35. BNI no corr. Beam irradiation without bias correction on mobile plane following the sun at normal incidence (obsolete),
#,
Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability;sza;summer/winter split;tco3;tcwv;AOD BC;AOD DU;AOD SS;AOD OR;AOD SU;AOD NI;AOD AM;alpha;Snow probability;fiso;fvol;fgeo;albedo;Cloud optical depth;Cloud coverage;Cloud type;GHI no corr;BHI no corr;DHI no corr;BNI no corr,
2023-01-01T00:00:00.0/2023-01-01T00:01:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0087;294.5157;20.4581;0.0021;0.0069;0.0047;0.0168;0.0527;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:01:00.0/2023-01-01T00:02:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0087;294.5022;20.4486;0.0021;0.0070;0.0047;0.0168;0.0527;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:02:00.0/2023-01-01T00:03:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.4887;20.4392;0.0021;0.0070;0.0047;0.0168;0.0527;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:03:00.0/2023-01-01T00:04:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.4752;20.4297;0.0021;0.0071;0.0047;0.0168;0.0527;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:04:00.0/2023-01-01T00:05:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.4617;20.4203;0.0021;0.0071;0.0047;0.0168;0.0526;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:05:00.0/2023-01-01T00:06:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.4482;20.4108;0.0021;0.0072;0.0047;0.0168;0.0526;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:06:00.0/2023-01-01T00:07:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.4347;20.4014;0.0021;0.0072;0.0047;0.0168;0.0526;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:07:00.0/2023-01-01T00:08:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.4212;20.3919;0.0021;0.0072;0.0047;0.0168;0.0526;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:08:00.0/2023-01-01T00:09:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.4077;20.3824;0.0021;0.0073;0.0047;0.0168;0.0526;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:09:00.0/2023-01-01T00:10:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.3942;20.3730;0.0021;0.0073;0.0047;0.0169;0.0526;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:10:00.0/2023-01-01T00:11:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.3807;20.3635;0.0021;0.0074;0.0047;0.0169;0.0526;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
